test1,homework,worksheets,extra,initiative,foxes,owls,total
64,72,11,1,2,1,0,206
45,90,17,21,7,0,3,242
72,110,18,0,3,2,2,263
86,124,14,16,9,2,5,324
63,116,16,9,4,2,3,264
13,20,8,0,0,0,0,45
62,96,15,24,1,1,4,251
47,122,13,0,0,0,2,230
64,120,7,18,10,2,5,282
59,116,8,7,1,0,0,248
95,48,14,24,1,4,2,258
30,128,8,14,1,0,1,228
62,92,15,0,1,1,1,239
65,108,16,2,9,1,2,259
54,126,9,11,9,3,3,275
69,128,19,18,2,2,2,298
42,64,9,7,0,0,0,175
74,104,11,13,20,1,2,276
68,128,18,11,3,1,1,288
93,120,16,20,12,3,5,335
25,74,11,11,3,0,1,138
76,108,16,4,7,1,0,269
80,112,13,24,9,3,2,306
21,52,5,8,5,0,0,150
